ID,species,tarsus,ulna,cv.skull.1,second_digit,sclerotic_ring,metatarsus,cv.keel.1,humerus,cv.furcula.1,femur,carpometacarpus,radius
UMMZ_218493,Habia_fuscicauda,32.1,26.15,39.21,8.36,9.23,23.56,21.459514408435,22.51,18.22,20.65,14.2776968610404,23.6874999765348
UMMZ_218494,Ramphocelus_dimidiatus,31.065,24.1227058195852,33.73,5.76165907252547,7.565,22.46,18.2,20.265,15.8,18.94,12.59,21.4800063356606
UMMZ_218495,Ramphocelus_flammigerus,32.975,24.48,34.58,5.88440957369278,7.67,26.46,17.3,21.305,17.0914260665053,20.44,12.845,21.9204072739632
UMMZ_218496,Ramphocelus_flammigerus,32.81,25.71,33.84,5.32,7.78,22.585,17.64,20.905,16.8037510808329,19.385,12.79,22.6557754536578
UMMZ_218497,Ramphocelus_flammigerus,32.745,24.6464710348255,34.23,5.88473115000101,8,22.95,17.57,20.975,17.0025322643377,20.32,12.94,21.9661815828622
UMMZ_218498,Piranga_flava,31.99,28.07,39.25,7.51387094793921,9.12,22.4610470165839,23.87,22.65,18.7755143014896,20.4002741344915,15.207402080616,24.6955909648077
UMMZ_218499,Rhodinocichla_rosea,36.885,25.64,43.14,6.4254019255203,8.49,25.4685316390146,24.27,23.39,17.82,22.78,14.22,22.29
UMMZ_218500,Chrysothlypis_chrysomelas,24.03,19.296592304453,27.25,5.03210420205511,5.74,17.3320434916571,15.7,15.94,13.5304423234168,14.4,10.3,17.2697864154241
UMMZ_218501,Saltator_striatipectus,34.16,28.555,35.34,6.47,8.145,24.285,21.8,23.5,18.0547362510866,21.01,14.39,25.4198503345979
UMMZ_218502,Saltator_striatipectus,35.39,26.21,35.46,6.12,8.14,23.8243214919131,21.97,22.445,17.6406781887584,21.31,13.74,23.61
UMMZ_218503,Cyanocompsa_cyanoides,29,25.84,37.02,6.20100467310651,8.49,21.2,22.35,21.425,17.29,19.3310750396563,13.2877573945543,23.21
UMMZ_218505,Oryzoborus_funereus,23.38,17.0166912612232,23.51,4.56,6.06,16.381484680539,14.43,14.66,13.0284246685361,13.465,8.63,15.0788846507131
UMMZ_218506,Arremonops_conirostris,37.88,22.6880808105124,33.2,5.26931092854965,8.05,28.41,19.48,21.26,16.64,22.4789643047445,11.93,20.1057071319257
UMMZ_218507,Arremon_aurantiirostris,34.97,26.85,32.1,6.06724524296001,7.92,27.136499593858,21.13,20.905,17.1475625742596,20.96,13.1462656537274,23.5304505862966
UMMZ_218528,Acrocephalus_melanopogon,28.06,16.5200726663477,28.35,4.78980871684503,5.435,21.2915932646933,11.273588412791,12.9422761352901,13.2234059889414,15.045,9.77671977377169,14.8550653737152
UMMZ_218529,Acrocephalus_melanopogon,30.02,17.1900491303398,29.56,5.00088171582392,5.76,21.25,11.8103889134174,13.53,13.7498288796006,15.84,10.1343576228101,15.4564264962915
UMMZ_218534,Myrmoborus_leucophrys,34.295,20.55,39.31,5.55445470893823,8.43,27.5001234213431,14.7485027757523,19.29,15.5621532930733,20.38,12.94,18.3640584632523
UMMZ_218535,Polystictus_pectoralis,20.035,14.4954198771342,22.19,3.87397602973943,5.2,15.6160637373171,10.4937568382947,11.53,10.85100203779,11.5,8.38478397009855,13.1697112237941
